,answer,id,score,correct,questions,target_answers
0,Espacio,1,1.0,0.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
1,El entendimiento.,1,3.0,0.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
2,Los sentimientos que tiene una persona en su espíritu,1,3.5,1.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
3,El lector,1,3.5,0.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
4,Corazón,1,2.5,0.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
5,La capacidad de compresión de las personas.,1,3.5,1.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
6,A la capacidad del lector para aprehender lo que lee,1,4.0,1.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
7,Las personas,1,2.5,0.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
8,Todo lo que a ti te rodea,1,3.0,0.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
9,El alma del lector,1,3.5,1.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
10,Alma del lector,1,3.5,1.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
11,el alma del lector,1,3.5,1.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
12,El alma del lector.,1,3.5,1.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
13,El lector y sus ideas.,1,5.0,1.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
14,Recipiente donde se ubica el alma del lector.,1,1.5,0.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
15,A la capacidad del lector.,1,3.5,1.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
16,"Esta frase toma al lector como un estanque, las piedras son el texto del escritor y la forma en que estas repercuten en el lector dependen de el bagaje de conocimientos que este mismo posee ",1,4.5,1.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
17,El alma.,1,3.0,0.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
18,La mente del lector,1,3.5,1.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
19,alma,1,3.0,0.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
20,Las personas.,1,2.5,0.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
21,El contexto del que lee,1,4.5,1.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
22,Al nivel de interpretación del lector,1,4.5,1.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
23,La mente,1,3.0,0.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
24,El alma,1,3.0,0.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
25,"La mente del lector, ya que las ondas representan el nuevo conocimiento que puede adquirir el lector al leer en función de cuan abierta este su mente ante el conocimiento",1,4.5,1.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
26,Al alma del lector.,1,3.5,1.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
27,la imaginacion,1,3.0,1.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
28,"El estanque se refiere a la magnitud de la palabra, o lo que está exprese y para que genere un efecto en el autor debe depender de lo que estás expresen.",1,1.5,0.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
29,el alma,1,3.0,0.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
30,Que tan abierto esta uno a recibir las ideas del escritor,1,4.0,1.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
31,El alma del que lee,1,3.5,1.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
32,El entendimiento,1,3.0,0.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
33,sbretton@uninorte.edu.co,1,0.0,0.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
34,Al lugar donde las ondas se desplazan,1,1.0,0.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
35,Imaginación,1,3.0,1.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
36,La mente del lector.,1,3.5,1.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
37,La situación de la persona que recibe el mensaje.,1,3.5,1.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
38,La imaginación,1,3.0,1.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
39,Se refiere a la persona que lee,1,3.5,0.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
40,el Alma del lector,1,3.5,1.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
41,El alma/corazón.,1,3.0,0.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
42,Al alma.,1,3.0,0.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
43,La capacidad de adquirir conocimiento,1,3.5,1.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
44,"El razonamiento del receptor, a quién va dirigido",1,4.0,1.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
