,answers,id,questions,target_answers,score,correct
0,Space ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,1.0,0.0
1,The understanding. ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,3.0,0.0
2,The feelings that a person has in his spirit ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,3.5,1.0
3,The reader ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,3.5,0.0
4,Heart ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,2.5,0.0
5,The compression capacity of people. ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,3.5,1.0
6,To the ability of the reader to apprehend what he reads ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,4.0,1.0
7,People ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,2.5,0.0
8,Everything that surrounds you ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,3.0,0.0
9,The soul of the reader ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,3.5,1.0
10,Soul of the reader ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,3.5,1.0
11,The soul of the reader ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,3.5,1.0
12,The soul of the reader. ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,3.5,1.0
13,The reader and his ideas. ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,5.0,1.0
14,Container where the soul of the reader is located. ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,1.5,0.0
15,To the ability of the reader. ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,3.5,1.0
16,"This phrase takes the reader like a pond, the stones are the text of the writer and the way they are affected in the reader depend on the baggage of knowledge itself possesses ",1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,4.5,1.0
17,The soul. ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,3.0,0.0
18,The mind of the reader ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,3.5,1.0
